postcode,szzcd,district
050004,OP,01
051335,OP,01
052335,OP,01
080003,BM,02
081001,BM,02
082001,OP,02
085101,OP,02
089054,BM,02
090001,BM,04
091014,BM,04
100044,BM,04
101080,BM,04
102080,BM,04
103080,BM,04
120101,CL,05
130001,QT,05
131028,QT,05
132028,QT,05
133028,QT,05
134028,QT,05
139525,QT,05
140007,QT,03
141007,QT,03
142027,QT,03
143040,QT,03
144061,QT,03
150001,BM,03
151001,BM,03
152028,BM,03
153075,BM,03
160001,BM,03
161001,OP,03
162002,BM,03
163002,OP,03
164002,BM,03
165004,BM,03
166002,BM,03
167026,BM,03
168789,BM,03
180001,DT,07
181003,DT,07
182269,RC,07
183269,RC,07
190001,KL,07
200001,KL,08
201007,KL,08
210009,KL,08
211048,KL,08
212671,RC,08
219679,KL,08
260001,BT,10
270001,QT,10
271001,QT,10
272003,QT,10
273018,QT,10
274018,QT,10
275018,QT,10
278178,BT,10
300069,NV,11
310001,TP,12
311014,TP,12
312010,TP,12
313079,TP,12
314079,TP,12
315079,TP,12
320001,KL,12
321004,KL,12
322002,KL,12
323101,NV,12
324108,KL,12
330004,KL,12
331038,KL,12
332038,KL,12
333038,KL,12
334038,KL,12
350101,TP,13
360002,TP,13
370012,GL,13
371092,GL,13
380011,KL,14
381002,KL,14
382002,KL,14
383002,KL,14
384002,KL,14
390001,GL,14
391005,GL,14
392003,GL,14
400001,GL,14
401001,GL,14
402003,GL,14
403002,GL,14
404002,GL,14
405002,GL,14
406002,GL,14
410101,BD,14
420003,GL,15
430001,GL,15
431001,KL,15
450001,BD,15
457909,BD,15
460001,BD,16
461001,BD,16
462010,BD,16
463010,BD,16
464010,BD,16
465010,BD,16
467010,BD,16
470101,BD,16
472613,BD,16
500001,CH,17
510101,PR,18
520101,TM,18
521101,TM,18
522167,TM,18
523167,TM,18
524167,TM,18
525230,TM,18
526230,TM,18
527201,TM,18
528230,TM,18
529230,TM,18
530001,HG,19
531001,SG,19
535986,HG,19
536978,HG,19
538698,HG,19
540101,SE,19
541116,SE,19
542116,SE,19
543116,SE,19
544119,SE,19
545118,SE,19
547207,SE,19
548264,SE,19
550101,SG,19
551223,SG,19
552506,SG,19
560101,AM,20
561104,AM,20
562226,AM,20
563307,AM,20
564588,AM,20
565226,AM,20
566226,AM,20
570022,BS,20
571150,BS,20
572152,BS,20
590002,BT,21
591501,BT,21
596717,BT,21
597592,BT,21
600020,JE,22
601215,JE,22
602285,JE,22
603285,JE,22
604285,JE,22
605288,JE,22
610063,JW,22
618643,JE,22
640167,JW,22
641180,JW,22
642180,JW,22
643180,JW,22
645517,JW,22
650101,BK,23
651210,BK,23
652288,BK,23
653288,BK,23
654288,BK,23
655288,BK,23
656288,BK,23
670101,BP,23
671133,BP,23
680001,CK,23
683296,CK,23
684296,CK,23
685296,CK,23
730001,WD,25
731001,WD,25
732005,WD,25
733012,WD,25
734681,WD,25
735688,WD,25
736688,WD,25
750300,SB,27
751339,SB,27
752339,SB,27
753350,SB,27
754351,SB,27
760101,YS,27
761115,YS,27
762115,YS,27
763115,YS,27
791403,SE,28
792403,SE,28
793403,SE,28
794403,SE,28
820111,PG,19
821101,PG,19
822101,PG,19
823101,PG,19
824101,PG,19
825195,PG,19
