postcode,szzcd,district
050004,OP,01
050005,OP,01
050032,OP,01
050034,OP,01
050532,OP,01
050533,OP,01
050535,OP,01
050536,OP,01
050538,OP,01
051335,OP,01
052335,OP,01
080003,BM,02
080004,BM,02
080005,BM,02
080006,BM,02
080007,BM,02
080008,BM,02
080009,BM,02
080011,BM,02
080012,BM,02
080013,BM,02
080016,BM,02
080017,BM,02
080018,BM,02
080019,BM,02
080101,BM,02
080102,BM,02
080103,BM,02
080104,BM,02
080105,BM,02
080106,BM,02
080107,BM,02
080109,BM,02
080333,OP,02
080334,OP,02
081001,BM,02
081002,BM,02
081003,BM,02
081004,BM,02
081005,BM,02
081007,BM,02
081008,BM,02
081110,BM,02
082001,OP,02
082002,OP,02
085101,OP,02
085201,OP,02
085301,OP,02
085401,OP,02
085501,OP,02
085601,OP,02
085701,OP,02
089054,BM,02
090001,BM,04
090003,BM,04
090004,BM,04
090005,BM,04
090006,BM,04
090007,BM,04
090008,BM,04
090010,BM,04
090012,BM,04
090013,BM,04
090014,BM,04
090015,BM,04
090016,BM,04
090017,BM,04
090018,BM,04
090019,BM,04
090020,BM,04
090021,BM,04
090022,BM,04
090023,BM,04
090024,BM,04
090025,BM,04
090026,BM,04
090027,BM,04
090028,BM,04
090029,BM,04
090030,BM,04
090031,BM,04
090032,BM,04
090033,BM,04
090034,BM,04
090035,BM,04
090037,BM,04
090038,BM,04
090039,BM,04
090040,BM,04
090041,BM,04
090042,BM,04
090043,BM,04
090101,BM,04
090102,BM,04
090103,BM,04
090104,BM,04
090105,BM,04
090106,BM,04
090107,BM,04
090108,BM,04
090109,BM,04
090110,BM,04
090111,BM,04
090112,BM,04
090113,BM,04
090114,BM,04
090115,BM,04
091014,BM,04
091017,BM,04
100044,BM,04
100045,BM,04
100046,BM,04
100047,BM,04
100048,BM,04
100049,BM,04
100050,BM,04
100051,BM,04
100052,BM,04
100053,BM,04
100054,BM,04
100055,BM,04
100056,BM,04
100057,BM,04
100058,BM,04
100059,BM,04
100060,BM,04
100061,BM,04
100062,BM,04
100063,BM,04
100064,BM,04
100065,BM,04
100066,BM,04
100067,BM,04
100068,BM,04
100069,BM,04
100072,BM,04
100073,BM,04
100074,BM,04
100075,BM,04
100076,BM,04
100077,BM,04
100084,BM,04
100085,BM,04
100086,BM,04
100087,BM,04
100088,BM,04
100113,BM,04
100114,BM,04
101080,BM,04
101103,BM,04
101104,BM,04
101106,BM,04
101109,BM,04
101111,BM,04
101112,BM,04
102080,BM,04
102103,BM,04
102104,BM,04
102106,BM,04
102109,BM,04
102111,BM,04
102112,BM,04
103080,BM,04
120101,CL,05
120102,CL,05
120103,CL,05
120104,CL,05
120105,CL,05
120109,CL,05
120110,CL,05
120111,CL,05
120112,CL,05
120113,CL,05
120114,CL,05
120115,CL,05
120116,CL,05
120117,CL,05
120118,CL,05
120201,CL,05
120202,CL,05
120203,CL,05
120204,CL,05
120205,CL,05
120206,CL,05
120301,CL,05
120302,CL,05
120303,CL,05
120304,CL,05
120305,CL,05
120306,CL,05
120307,CL,05
120308,CL,05
120309,CL,05
120310,CL,05
120315,CL,05
120316,CL,05
120317,CL,05
120318,CL,05
120319,CL,05
120320,CL,05
120321,CL,05
120322,CL,05
120323,CL,05
120324,CL,05
120325,CL,05
120326,CL,05
120327,CL,05
120328,CL,05
120329,CL,05
120330,CL,05
120331,CL,05
120332,CL,05
120333,CL,05
120334,CL,05
120335,CL,05
120336,CL,05
120337,CL,05
120338,CL,05
120339,CL,05
120340,CL,05
120341,CL,05
120342,CL,05
120343,CL,05
120344,CL,05
120345,CL,05
120346,CL,05
120347,CL,05
120348,CL,05
120349,CL,05
120350,CL,05
120351,CL,05
120352,CL,05
120354,CL,05
120355,CL,05
120356,CL,05
120357,CL,05
120358,CL,05
120359,CL,05
120362,CL,05
120363,CL,05
120364,CL,05
120365,CL,05
120366,CL,05
120367,CL,05
120371,CL,05
120372,CL,05
120373,CL,05
120374,CL,05
120375,CL,05
120376,CL,05
120377,CL,05
120378,CL,05
120379,CL,05
120380,CL,05
120381,CL,05
120405,CL,05
120406,CL,05
120410,CL,05
120411,CL,05
120412,CL,05
120413,CL,05
120414,CL,05
120415,CL,05
120416,CL,05
120417,CL,05
120418,CL,05
120419,CL,05
120420,CL,05
120421,CL,05
120422,CL,05
120423,CL,05
120424,CL,05
120425,CL,05
120426,CL,05
120427,CL,05
120428,CL,05
120429,CL,05
120430,CL,05
120431,CL,05
120432,CL,05
120433,CL,05
120434,CL,05
120435,CL,05
120442,CL,05
120443,CL,05
120446,CL,05
120449,CL,05
120450,CL,05
120454,CL,05
120455,CL,05
120456,CL,05
120457,CL,05
120458,CL,05
120459,CL,05
120460,CL,05
120461,CL,05
120462,CL,05
120501,CL,05
120505,CL,05
120506,CL,05
120507,CL,05
120508,CL,05
120509,CL,05
120510,CL,05
120511,CL,05
120512,CL,05
120513,CL,05
120514,CL,05
120515,CL,05
120516,CL,05
120518,CL,05
120519,CL,05
120520,CL,05
120601,CL,05
120602,CL,05
120603,CL,05
120604,CL,05
120605,CL,05
120606,CL,05
120607,CL,05
120608,CL,05
120609,CL,05
120610,CL,05
120611,CL,05
120612,CL,05
120613,CL,05
120701,CL,05
120702,CL,05
120703,CL,05
120704,CL,05
120705,CL,05
120706,CL,05
120707,CL,05
120708,CL,05
120709,CL,05
120710,CL,05
120711,CL,05
120712,CL,05
120713,CL,05
120714,CL,05
120715,CL,05
120716,CL,05
120717,CL,05
120721,CL,05
120722,CL,05
120723,CL,05
120724,CL,05
120725,CL,05
120727,CL,05
120728,CL,05
120729,CL,05
120730,CL,05
120731,CL,05
121441,CL,05
122441,CL,05
130001,QT,05
130002,QT,05
130003,QT,05
130004,QT,05
130005,QT,05
130012,QT,05
130013,QT,05
130014,QT,05
130017,QT,05
130018,QT,05
130019,QT,05
130020,QT,05
130021,QT,05
130022,QT,05
130023,QT,05
130026,QT,05
130027,QT,05
130030,QT,05
130031,QT,05
130032,QT,05
130034,QT,05
130035,QT,05
130036,QT,05
130037,QT,05
130038,QT,05
130039,QT,05
131028,QT,05
132028,QT,05
133028,QT,05
134028,QT,05
139525,QT,05
139531,QT,05
140007,QT,03
140019,QT,03
140020,QT,03
140021,QT,03
140022,QT,03
140023,QT,03
140024,QT,03
140025,QT,03
140028,QT,03
140030,QT,03
140037,QT,03
140038,QT,03
140041,QT,03
140042,QT,03
140045,QT,03
140046,QT,03
140047,QT,03
140048,QT,03
140049,QT,03
140050,QT,03
140051,QT,03
140052,QT,03
140055,QT,03
140056,QT,03
140057,QT,03
140058,QT,03
140059,QT,03
140060,QT,03
140061,QT,03
140062,QT,03
140063,QT,03
140064,QT,03
140065,QT,03
140066,QT,03
140067,QT,03
140068,QT,03
140069,QT,03
140070,QT,03
140071,QT,03
140072,QT,03
140073,QT,03
140075,QT,03
140079,QT,03
140081,QT,03
140082,QT,03
140083,QT,03
140084,QT,03
140085,QT,03
140086,QT,03
140087,QT,03
140088,QT,03
140089,QT,03
140090,QT,03
140091,QT,03
140092,QT,03
140093,QT,03
140094,QT,03
140095,QT,03
140096,QT,03
140097,QT,03
140098,QT,03
140099,QT,03
141007,QT,03
141023,QT,03
141026,QT,03
