postcode,subzone,district
018965,4311.0,01
018980,4311.0,01
018985,4311.0,01
018987,4311.0,01
050004,4803.0,01
050005,4803.0,01
050032,4803.0,01
050034,4803.0,01
050532,4804.0,01
050533,4804.0,01
050535,4804.0,01
050536,4804.0,01
050538,4804.0,01
051335,4803.0,01
052335,4803.0,01
058359,4801.0,01
058416,5302.0,01
068803,4308.0,01
068814,4308.0,01
069047,4308.0,01
069415,4803.0,01
078878,4309.0,02
078882,4309.0,02
079717,4309.0,02
079718,4309.0,02
079903,4309.0,02
080003,216.0,02
080004,216.0,02
080005,216.0,02
080006,216.0,02
080007,216.0,02
080008,216.0,02
080009,216.0,02
080011,216.0,02
080012,216.0,02
080013,216.0,02
080016,216.0,02
080017,216.0,02
080018,216.0,02
080019,216.0,02
080101,216.0,02
080102,216.0,02
080103,216.0,02
080104,216.0,02
080105,216.0,02
080106,216.0,02
080107,216.0,02
080109,216.0,02
080333,4803.0,02
080334,4803.0,02
081001,216.0,02
081002,216.0,02
081003,216.0,02
081004,216.0,02
081005,216.0,02
081007,216.0,02
081008,216.0,02
081110,216.0,02
082001,4803.0,02
082002,4803.0,02
085101,4803.0,02
085201,4803.0,02
085301,4803.0,02
085401,4803.0,02
085501,4803.0,02
085601,4803.0,02
085701,4803.0,02
088271,4803.0,02
089054,217.0,02
089218,4803.0,02
089386,216.0,02
089692,4803.0,02
090001,214.0,04
090003,214.0,04
090004,214.0,04
090005,214.0,04
090006,214.0,04
090007,214.0,04
090008,214.0,04
090010,214.0,04
090012,214.0,04
090013,214.0,04
090014,214.0,04
090015,214.0,04
090016,214.0,04
090017,214.0,04
090018,214.0,04
090019,214.0,04
090020,214.0,04
090021,214.0,04
090022,214.0,04
090023,214.0,04
090024,214.0,04
090025,214.0,04
090026,214.0,04
090027,214.0,04
090028,214.0,04
090029,214.0,04
090030,214.0,04
090031,214.0,04
090032,214.0,04
090033,214.0,04
090034,214.0,04
090035,214.0,04
090037,214.0,04
090038,214.0,04
090039,214.0,04
090040,214.0,04
090041,214.0,04
090042,214.0,04
090043,214.0,04
090101,215.0,04
090102,215.0,04
090103,215.0,04
090104,215.0,04
090105,215.0,04
090106,215.0,04
090107,215.0,04
090108,215.0,04
090109,215.0,04
090110,215.0,04
090111,215.0,04
090112,215.0,04
090113,215.0,04
090114,215.0,04
090115,215.0,04
091014,214.0,04
091017,214.0,04
098108,1001.0,04
098109,1001.0,04
098159,1001.0,04
098192,1001.0,04
098244,1001.0,04
098309,1001.0,04
098327,1001.0,04
098332,1001.0,04
098369,1001.0,04
098404,201.0,04
098408,201.0,04
098413,201.0,04
098414,201.0,04
098417,201.0,04
098419,201.0,04
098449,201.0,04
098451,201.0,04
098487,201.0,04
098530,1001.0,04
098532,1001.0,04
098551,1001.0,04
098584,1001.0,04
098618,1001.0,04
098623,1001.0,04
098624,1001.0,04
098628,1001.0,04
098635,1001.0,04
098640,1001.0,04
098650,1001.0,04
098651,1001.0,04
098652,1001.0,04
098655,1001.0,04
098656,1001.0,04
098657,1001.0,04
098830,201.0,04
099208,201.0,04
099209,201.0,04
099308,215.0,04
099309,215.0,04
100044,213.0,04
100045,213.0,04
100046,213.0,04
100047,213.0,04
100048,213.0,04
100049,213.0,04
100050,213.0,04
100051,213.0,04
100052,213.0,04
100053,213.0,04
100054,213.0,04
100055,213.0,04
100056,213.0,04
100057,213.0,04
100058,213.0,04
100059,213.0,04
100060,213.0,04
100061,213.0,04
100062,213.0,04
100063,213.0,04
100064,213.0,04
100065,213.0,04
100066,213.0,04
100067,213.0,04
100068,213.0,04
100069,213.0,04
100072,213.0,04
100073,213.0,04
100074,213.0,04
100075,213.0,04
100076,213.0,04
100077,213.0,04
100084,213.0,04
100085,213.0,04
100086,213.0,04
100087,213.0,04
100088,213.0,04
100113,212.0,04
100114,212.0,04
101080,213.0,04
101103,212.0,04
101104,212.0,04
101106,212.0,04
101109,212.0,04
101111,212.0,04
101112,212.0,04
102080,213.0,04
102103,212.0,04
102104,212.0,04
102106,212.0,04
102109,212.0,04
102111,212.0,04
102112,212.0,04
103080,213.0,04
109025,213.0,04
109684,212.0,04
109685,212.0,04
109686,212.0,04
109687,212.0,04
109688,212.0,04
109690,212.0,04
109691,212.0,04
109692,212.0,04
109694,212.0,04
109696,212.0,04
109697,212.0,04
109698,212.0,04
109699,212.0,04
109700,212.0,04
109701,212.0,04
109702,212.0,04
109703,212.0,04
109704,212.0,04
109705,212.0,04
