postcode,lat,lng,district
018965,1.280149,103.852006,01
018980,1.280149,103.852006,01
018985,1.280149,103.852006,01
018987,1.280149,103.852006,01
050004,1.281804,103.842975,01
050005,1.281804,103.842975,01
050032,1.281804,103.842975,01
050034,1.281804,103.842975,01
050532,1.284151,103.845978,01
050533,1.284151,103.845978,01
050535,1.284151,103.845978,01
050536,1.284151,103.845978,01
050538,1.284151,103.845978,01
051335,1.282612,103.842892,01
052335,1.282612,103.842892,01
058359,1.285366,103.843699,01
058416,1.28887,103.848344,01
068803,1.279447,103.8505069,01
068814,1.279447,103.8505069,01
069047,1.2796,103.847336,01
069415,1.281387,103.846665,01
078878,1.275501,103.844555,02
078882,1.275501,103.844555,02
079717,1.274261,103.844368,02
079718,1.274261,103.844368,02
079903,1.276109,103.845924,02
080003,1.277188,103.838668,02
080004,1.277188,103.838668,02
080005,1.277188,103.838668,02
080006,1.277188,103.838668,02
080007,1.277188,103.838668,02
080008,1.277188,103.838668,02
080009,1.277188,103.838668,02
080011,1.277188,103.838668,02
080012,1.277188,103.838668,02
080013,1.277188,103.838668,02
080016,1.277188,103.838668,02
080017,1.277188,103.838668,02
080018,1.277188,103.838668,02
080019,1.277188,103.838668,02
080101,1.275214,103.835908,02
080102,1.275214,103.835908,02
080103,1.275214,103.835908,02
080104,1.275214,103.835908,02
080105,1.275214,103.835908,02
080106,1.275214,103.835908,02
080107,1.275214,103.835908,02
080109,1.275214,103.835908,02
080333,1.2803199,103.842723,02
080334,1.2803199,103.842723,02
081001,1.277421,103.8400039,02
081002,1.277421,103.8400039,02
081003,1.277421,103.8400039,02
081004,1.277421,103.8400039,02
081005,1.277421,103.8400039,02
081007,1.277421,103.8400039,02
081008,1.277421,103.8400039,02
081110,1.273658,103.836269,02
082001,1.27573,103.842833,02
082002,1.27573,103.842833,02
085101,1.277898,103.840963,02
085201,1.27799,103.84122,02
085301,1.277437,103.841695,02
085401,1.276945,103.841487,02
085501,1.276639,103.8411519,02
085601,1.275795,103.841216,02
085701,1.275509,103.841267,02
088271,1.275296,103.8416529,02
088660,-1,-1,02
088661,-1,-1,02
089054,1.272294,103.842686,02
089218,1.2747949,103.842224,02
089386,1.276523,103.837829,02
