"Project Name","Address","No. of Units","Area (sqm)","Type of Area","Transacted Price ($)","Unit Price ($ psm)","Unit Price ($ psf)","Contract Date","Property Type","Tenure","Completion Date","Type of Sale","Purchaser Address Indicator","Postal District","Postal Sector","Postal Code","Planning Region","Planning Area","Postal Code","latitude","longitude"
"# 1 LOFT","1 Lorong 24 Geylang  #08-14 ","1","51","Strata","670642","13150","1222","2013-08-15","Apartment","Freehold","Uncompleted","New Sale","HDB","14","39","398614","Central Region","Geylang","398614","1.31276346383648","103.883518875406"
"# 1 SUITES","1 Lorong 20 Geylang  #08-09 ","1","62","Strata","849892","13708","1273","2013-10-04","Apartment","Freehold","Uncompleted","New Sale","Private","14","39","398721","Central Region","Geylang","398721","1.31239029332728","103.881504147506"
"# 1 SUITES","1 Lorong 20 Geylang  #08-31 ","1","55","Strata","754327","13715","1274","2013-10-04","Apartment","Freehold","Uncompleted","New Sale","HDB","14","39","398721","Central Region","Geylang","398721","1.31239029332728","103.881504147506"
"#1 SUITES","1 Lorong 20 Geylang  #06-25 ","1","52","Strata","711018","13673","1270","2013-08-06","Apartment","Freehold","Uncompleted","New Sale","Private","14","39","398721","Central Region","Geylang","398721","1.31239029332728","103.881504147506"
"1 CANBERRA","23 Canberra Drive  #04-46 ","1","89","Strata","687550","7725","718","2014-01-10","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","Private","27","76","768077","North Region","Yishun","768077","1.43847229844254","103.829893423878"
"1 CANBERRA","1 Canberra Drive  #13-03 ","1","88","Strata","702800","7986","742","2013-10-04","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","25 Canberra Drive  #02-50 ","1","88","Strata","693500","7881","732","2014-01-07","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768078","North Region","Yishun","768078","1.43824107091949","103.830028911906"
"1 CANBERRA","21 Canberra Drive  #11-43 ","1","98","Strata","787312","8034","746","2013-08-01","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768076","North Region","Yishun","768076","1.43866585646089","103.829737218736"
"1 CANBERRA","1 Canberra Drive  #04-04 ","1","88","Strata","675800","7680","713","2013-12-10","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768101","North Region","Yishun","768101","1.437691663955","103.830277394333"
"1 CANBERRA","5 Canberra Drive  #12-09 ","1","97","Strata","806900","8319","773","2013-08-01","Executive Condominium","99 Yrs From 30/01/2012","Uncompleted","New Sale","HDB","27","76","768103","North Region","Yishun","768103","1.43751100669455","103.829826850122"
