OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area
1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014/12/05,31595.83570000000,29220.18730000000,5267.38102360000,1630379.26799999992
2,1,PEARL'S HILL,OTSZ01,Y,OUTRAM,OT,CENTRAL REGION,CR,8C7149B9EB32EEFC,2014/12/05,28679.06340000000,29782.05190000000,3506.10737550000,559816.24544900004
3,3,BOAT QUAY,SRSZ03,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,C35FEFF02B13E0E5,2014/12/05,29654.95940000000,29974.65530000000,1740.92576616000,160807.49772900000
4,8,HENDERSON HILL,BMSZ08,N,BUKIT MERAH,BM,CENTRAL REGION,CR,3775D82C5DDBEFBD,2014/12/05,26782.82610000000,29933.76510000000,3313.62490378000,595428.88596800005
5,3,REDHILL,BMSZ03,N,BUKIT MERAH,BM,CENTRAL REGION,CR,85D9ABEF0A40678F,2014/12/05,26201.95800000000,30005.70350000000,2825.59409872000,387429.43996400002
6,7,ALEXANDRA HILL,BMSZ07,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9D286521EF5E3B59,2014/12/05,25358.82080000000,29991.38420000000,4428.91343557000,1030378.78602999996
7,9,BUKIT HO SWEE,BMSZ09,N,BUKIT MERAH,BM,CENTRAL REGION,CR,7839A8577144EFE2,2014/12/05,27680.06270000000,30230.86100000000,3275.31248846000,551732.04949400004
8,2,CLARKE QUAY,SRSZ02,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,48661DC0FBA09F7A,2014/12/05,29253.20730000000,30222.86450000000,2208.61929874000,290184.65268599999
9,13,PASIR PANJANG 1,QTSZ13,N,QUEENSTOWN,QT,CENTRAL REGION,CR,1F721290C421BFAB,2014/12/05,22077.33830000000,29893.78120000000,6571.32308202000,1084792.32058999990
10,7,QUEENSWAY,QTSZ07,N,QUEENSTOWN,QT,CENTRAL REGION,CR,3580D2AFFBEE914C,2014/12/05,24168.31060000000,30104.17680000000,3454.23928341000,631644.28929800005
11,12,KENT RIDGE,QTSZ12,N,QUEENSTOWN,QT,CENTRAL REGION,CR,601BA309A1AAC731,2014/12/05,23464.84090000000,29725.37060000000,7439.54765630000,1826848.56058000005
12,6,ALEXANDRA NORTH,BMSZ06,N,BUKIT MERAH,BM,CENTRAL REGION,CR,4DC4BF8D86594CBF,2014/12/05,26548.25070000000,30519.39220000000,2907.05146074000,293706.39880400000
13,1,MARINA EAST,MESZ01,Y,MARINA EAST,ME,CENTRAL REGION,CR,782A2FAF53029A34,2014/12/05,32344.04890000000,30103.24950000000,6470.94964274000,1844060.67467999994
14,5,INSTITUTION HILL,RVSZ05,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,C3C22D1EE31757BD,2014/12/05,28465.39990000000,30711.21790000000,2842.52550488000,392563.33976000000
15,1,ROBERTSON QUAY,SRSZ01,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,DF71BB5EC3C9FFD1,2014/12/05,28416.84770000000,30409.36070000000,4995.75811436000,506588.95975099999
16,1,JURONG ISLAND AND BUKOM,WISZ01,N,WESTERN ISLANDS,WI,WEST REGION,WR,699F7210FBF1AFA8,2014/12/05,13012.88050000000,27225.86740000000,68083.93647080001,36707720.91879999638
17,3,SUDONG,WISZ03,N,WESTERN ISLANDS,WI,WEST REGION,WR,F718C723E08FBD51,2014/12/05,15931.75860000000,19579.06900000000,24759.06579730000,4207271.09353000019
18,2,SEMAKAU,WISZ02,N,WESTERN ISLANDS,WI,WEST REGION,WR,E69207D4F76DEEA3,2014/12/05,21206.33380000000,20465.80750000000,18703.68114040000,4963787.10446999967
19,2,SOUTHERN GROUP,SISZ02,N,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR,5809FC547293EA2D,2014/12/05,29815.09000000000,23412.58660000000,25626.97718970000,2206319.45626999997
20,1,SENTOSA,SISZ01,N,SOUTHERN ISLANDS,SI,CENTRAL REGION,CR,A6FCDC9C447952CB,2014/12/05,27593.93930000000,25813.35460000000,17496.19373690000,4919132.36978000030
21,17,CITY TERMINALS,BMSZ17,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9711879901A8487F,2014/12/05,28387.33880000000,27536.56710000000,16805.65550230000,3449640.60706999991
22,10,ANSON,DTSZ10,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,4893F02202845C1D,2014/12/05,29145.35000000000,28466.77830000000,1586.10005898000,103238.48213900000
23,1,STRAITS VIEW,SVSZ01,Y,STRAITS VIEW,SV,CENTRAL REGION,CR,21451799CA1AB6EF,2014/12/05,30832.90170000000,28194.08430000000,5277.76082729000,1127297.23736999999
24,1,MARITIME SQUARE,BMSZ01,N,BUKIT MERAH,BM,CENTRAL REGION,CR,C1AC31ABF9978DDB,2014/12/05,25805.78670000000,27911.41930000000,13737.11618100000,2701634.33974999981
25,14,TELOK BLANGAH WAY,BMSZ14,N,BUKIT MERAH,BM,CENTRAL REGION,CR,0F0735F1BDDF53C7,2014/12/05,26570.51730000000,28871.89220000000,2290.22726176000,276826.81246099999
26,7,MAXWELL,DTSZ07,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,CB2D9FC5CAB792B1,2014/12/05,29392.04780000000,29096.75390000000,1419.80185707000,63664.96676670000
27,8,CECIL,DTSZ08,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,65AA82AF6F4D925D,2014/12/05,29730.19830000000,29011.32840000000,2116.09466694000,196619.86318700001
28,11,KAMPONG TIONG BAHRU,BMSZ11,N,BUKIT MERAH,BM,CENTRAL REGION,CR,CF28DD4E7898CC7B,2014/12/05,27335.83050000000,28979.77310000000,3304.06046472000,365333.42619099998
29,13,TELOK BLANGAH DRIVE,BMSZ13,N,BUKIT MERAH,BM,CENTRAL REGION,CR,54A4BD5ABBBDC5A8,2014/12/05,25280.26120000000,28791.46060000000,5317.78168432000,1454827.64583999990
30,14,PASIR PANJANG 2,QTSZ14,N,QUEENSTOWN,QT,CENTRAL REGION,CR,C6E665749CEADED6,2014/12/05,23692.63850000000,28894.40990000000,5797.23131893000,853206.57172400004
31,11,CENTRAL SUBZONE,DTSZ11,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,8EFE9EC1AEF2DA0A,2014/12/05,30125.83670000000,28683.03990000000,5002.01615114000,1070723.25634999992
32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91630902E00FD7B9,2014/12/05,28147.22100000000,29131.03680000000,2915.28204786000,533017.39073300001
33,12,DEPOT ROAD,BMSZ12,N,BUKIT MERAH,BM,CENTRAL REGION,CR,102DDFE3D40A95C9,2014/12/05,25244.20710000000,29407.09400000000,4281.17268085000,442502.82759100001
34,2,PEOPLE'S PARK,OTSZ02,Y,OUTRAM,OT,CENTRAL REGION,CR,B4120D23006C932A,2014/12/05,28831.78070000000,29419.64570000000,1822.19271780000,93140.43764220001
35,2,BUKIT MERAH,BMSZ02,N,BUKIT MERAH,BM,CENTRAL REGION,CR,1C51019439A68700,2014/12/05,26360.79900000000,29384.14290000000,3074.96323452000,411722.82258300000
36,3,CHINATOWN,OTSZ03,Y,OUTRAM,OT,CENTRAL REGION,CR,0FF1661344C84AED,2014/12/05,29153.96760000000,29158.04430000000,4297.59991003000,587222.67885400006
37,4,PHILLIP,DTSZ04,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,615D4EDDEF809F8E,2014/12/05,29706.72420000000,29744.90790000000,871.55488779800,39437.93527030000
38,5,RAFFLES PLACE,DTSZ05,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,72107B11807074F4,2014/12/05,29968.61750000000,29572.76180000000,1872.75216120000,188767.48970599999
39,4,CHINA SQUARE,OTSZ04,Y,OUTRAM,OT,CENTRAL REGION,CR,B609DF5587626C8F,2014/12/05,29509.64370000000,29646.44950000000,1605.27969734000,133006.93601199999
40,10,TIONG BAHRU,BMSZ10,N,BUKIT MERAH,BM,CENTRAL REGION,CR,A0FB4B68155D164A,2014/12/05,27785.67200000000,29590.39510000000,3303.21489952000,448127.58444100001
41,12,BAYFRONT SUBZONE,DTSZ12,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,197F5E664DA4D5E1,2014/12/05,30806.24180000000,29530.16700000000,2897.12642569000,521200.52237600001
42,4,TIONG BAHRU STATION,BMSZ04,N,BUKIT MERAH,BM,CENTRAL REGION,CR,91FFE927ABE3E4DB,2014/12/05,27277.46980000000,29607.02370000000,2506.68791910000,350787.56142099999
43,6,CLIFFORD PIER,DTSZ06,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,945CC212CA80626F,2014/12/05,30379.50410000000,29776.43340000000,2405.99092471000,261843.89681599999
44,5,MARINA EAST (MP),MPSZ05,N,MARINE PARADE,MP,CENTRAL REGION,CR,1575868DF0D30E32,2014/12/05,33715.69750000000,30512.24760000000,6657.15139269000,1590339.79554000008
45,3,MARINA CENTRE,DTSZ03,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,2AB099523A1AEAD5,2014/12/05,30938.09850000000,30471.82670000000,4047.11116872000,886954.80920000002
46,3,BRAS BASAH,MUSZ03,Y,MUSEUM,MU,CENTRAL REGION,CR,5A1130F73E65C2D7,2014/12/05,29793.09310000000,30958.09520000000,2348.65717267000,223206.60318700000
47,4,OXLEY,RVSZ04,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,5A22C0945D1794D2,2014/12/05,28802.35550000000,31053.67170000000,1989.48702648000,200052.68482699999
48,2,CITY HALL,DTSZ02,Y,DOWNTOWN CORE,DT,CENTRAL REGION,CR,C3663E9926627289,2014/12/05,30209.07360000000,30536.50790000000,4544.16984709000,710568.70293799997
49,6,MEI CHIN,QTSZ06,N,QUEENSTOWN,QT,CENTRAL REGION,CR,F15BD95C8778DC31,2014/12/05,24651.06930000000,30651.13400000000,3580.44285697000,748683.99586300005
50,4,EAST COAST,MPSZ04,N,MARINE PARADE,MP,CENTRAL REGION,CR,768CE19AACFCB9EB,2014/12/05,36386.52610000000,31338.90160000000,5333.00867129000,591778.99973299995
51,11,NATIONAL UNIVERSITY OF S'PORE,QTSZ11,N,QUEENSTOWN,QT,CENTRAL REGION,CR,247B3009E9665A6E,2014/12/05,21688.92430000000,30930.12130000000,5625.41689089000,1755950.43882000004
52,1,ONE TREE HILL,RVSZ01,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,0FF5E50B9581D2BE,2014/12/05,27315.55920000000,31563.79680000000,2464.41309401000,340743.34164499998
53,3,SOMERSET,ORSZ03,Y,ORCHARD,OR,CENTRAL REGION,CR,F70C32D861DD6CA5,2014/12/05,28626.56110000000,31494.90480000000,3039.80523249000,329437.93320000003
54,9,BENCOOLEN,RCSZ09,Y,ROCHOR,RC,CENTRAL REGION,CR,CF8BBFA03E1B0246,2014/12/05,29999.06260000000,31594.59400000000,1916.09754822000,170664.30451700001
55,3,LEONIE HILL,RVSZ03,Y,RIVER VALLEY,RV,CENTRAL REGION,CR,29BCAA5838A4EAC0,2014/12/05,28082.93970000000,31145.10790000000,2676.35256334000,368482.98826000001
