OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,CA_IND,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,SHAPE_Area,ADDRESS
1,1,MARINA SOUTH,MSSZ01,Y,MARINA SOUTH,MS,CENTRAL REGION,CR,5ED7EB253F99252E,2014/12/05,31595.83570000000,29220.18730000000,5267.38102360000,1630379.26799999992,Bus stop at Marina Barrage (03369)
2,1,PEARL'S HILL,OTSZ01,Y,OUTRAM,OT,CENTRAL REGION,CR,8C7149B9EB32EEFC,2014/12/05,28679.06340000000,29782.05190000000,3506.10737550000,559816.24544900004,"Pearl Bank Apartment, 1 Pearl Bank, Singapore 169016"
3,3,BOAT QUAY,SRSZ03,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,C35FEFF02B13E0E5,2014/12/05,29654.95940000000,29974.65530000000,1740.92576616000,160807.49772900000,"Boat Quay Conservation Area, 60 Boat Quay, Singapore 049848; Boat Quay Conservation Area, 61 Boat Quay, Singapore 049849; Boat Quay Conservation Area, 58 Boat Quay, Singapore 049847; Boat Quay Conservation Area, 62 Boat Quay, Singapore 049850; Boat Quay Conservation Area, 57 Boat Quay, Singapore 049846; Boat Quay Conservation Area, 63 Boat Quay, Singapore 049851; Boat Quay Conservation Area, 56 Boat Quay, Singapore 049845; Boat Quay Conservation Area, 64 Boat Quay, Singapore 049852; Boat Quay Conservation Area, 55 Boat Quay, Singapore 049844; Boat Quay Conservation Area, 65 Boat Quay, Singapore 049853"
4,8,HENDERSON HILL,BMSZ08,N,BUKIT MERAH,BM,CENTRAL REGION,CR,3775D82C5DDBEFBD,2014/12/05,26782.82610000000,29933.76510000000,3313.62490378000,595428.88596800005,Bus stop before Bukit Merah Central (10331); Bus stop after Bukit Merah Central (10339)
5,3,REDHILL,BMSZ03,N,BUKIT MERAH,BM,CENTRAL REGION,CR,85D9ABEF0A40678F,2014/12/05,26201.95800000000,30005.70350000000,2825.59409872000,387429.43996400002,"Redhill MRT Station (EW18), 920 Tiong Bahru Road, Singapore 158792; Bus stop opposite Redhill MRT (10201); Bus stop at Redhill MRT (10209); 76A Redhill Road, Singapore 151076; 75C Redhill Road, Singapore 153075; The Metropolitan Condominium, 8 Alexandra Road, Singapore 158747"
6,7,ALEXANDRA HILL,BMSZ07,N,BUKIT MERAH,BM,CENTRAL REGION,CR,9D286521EF5E3B59,2014/12/05,25358.82080000000,29991.38420000000,4428.91343557000,1030378.78602999996,"Bus stop at Anchor Point (11521); IKEA Alexandra, 317 Alexandra Road, Singapore 159965; Anchorpoint Shopping Centre, 370 Alexandra Road, Singapore 159953; Anchorpoint Shopping Centre, 368 Alexandra Road, Singapore 159952; Alexandra Central, 323 Alexandra Road, Singapore 159972; Bus stop before IKEA Industrial Building (11529); The Anchorage, 370J Alexandra Road, Singapore 159962"
7,9,BUKIT HO SWEE,BMSZ09,N,BUKIT MERAH,BM,CENTRAL REGION,CR,7839A8577144EFE2,2014/12/05,27680.06270000000,30230.86100000000,3275.31248846000,551732.04949400004,"8C Boon Tiong Road, Singapore 166008; 300 Jalan Bukit Ho Swee, Singapore 169566; Havelock Road Cooked Food Centre, 22B Havelock Road, Singapore 162022; Havelock Road Cooked Food Centre, 22A Havelock Road, Singapore 161022; 8B Boon Tiong Road, Singapore 165008; Singapore Examinations And Assessment Board (SEAB), 298 Jalan Bukit Ho Swee, Singapore 169565; 8A Boon Tiong Road, Singapore 164008; 6C Boon Tiong Road, Singapore 166006; Tiong Bahru View, 9C Boon Tiong Road, Singapore 164009; Tiong Bahru View, 9B Boon Tiong Road, Singapore 163009"
8,2,CLARKE QUAY,SRSZ02,Y,SINGAPORE RIVER,SR,CENTRAL REGION,CR,48661DC0FBA09F7A,2014/12/05,29253.20730000000,30222.86450000000,2208.61929874000,290184.65268599999,"Liang Court, 177 River Valley Road, Singapore 179030; Novotel Clarke Quay Singapore, 177A River Valley Road, Singapore 179031; The Foundry, 3B River Valley Road, Singapore 179021; 3A River Valley Road, Singapore 179020; Liang Court, 177C River Valley Road, Singapore 179036"
9,13,PASIR PANJANG 1,QTSZ13,N,QUEENSTOWN,QT,CENTRAL REGION,CR,1F721290C421BFAB,2014/12/05,22077.33830000000,29893.78120000000,6571.32308202000,1084792.32058999990,"Marketing House, 1 Pasir Panjang Road, Singapore 118479; Bus stop opposite The Furniture Warehouse (14401); Labrador Park MRT Station (CC27), 701 Telok Blangah Road, Singapore 109029; Bus stop opposite Blk 3B (14409)"
10,7,QUEENSWAY,QTSZ07,N,QUEENSTOWN,QT,CENTRAL REGION,CR,3580D2AFFBEE914C,2014/12/05,24168.31060000000,30104.17680000000,3454.23928341000,631644.28929800005,"Masjid Mujahidin (Mosque), 590 Stirling Road, Singapore 148952; 26 Tanglin Halt Road, Singapore 141026; Bus stop opposite Mujahidin Mosque (11051); 27 Tanglin Halt Road, Singapore 142027; 25 Tanglin Halt Road, Singapore 140025; 28 Tanglin Halt Road, Singapore 140028; 24 Tanglin Halt Road, Singapore 140024; Bus stop at Mujahidin Mosque (11059); Queenstown Polyclinic, 580 Stirling Road, Singapore 148958; MDIS Unicampus, 501 Stirling Road, Singapore 148951"
